年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11211,Ｎ：支援服務業,80758,2.66,11844113953,1.39
11211,Ｏ：公共行政及國防；強制性社會安全,198,0.01,11766716,0.00
11211,Ｐ：教育業,448,0.01,53990282,0.01
11211,Ｑ：醫療保健及社會工作服務業,61,0.00,2722737,0.00
11211,Ｒ：藝術、娛樂及休閒服務業,8747,0.29,664617221,0.08
11211,Ｓ：其他服務業,18790,0.62,2142419256,0.25
11211,Ｘ：不能歸類之行業,184764,6.10,72174719337,8.48
11212,Ａ：農、林、漁、牧業,32701,1.41,8483360152,1.07
11212,Ｂ：礦業及土石採取業,17915,0.77,5226705154,0.66
11212,Ｃ：製造業,812238,35.04,155318895695,19.52
11212,Ｄ：電力及燃氣供應業,19588,0.85,15949183725,2.00
11212,Ｅ：用水供應及污染整治業,11889,0.51,4451156038,0.56
11212,Ｆ：營建工程業,307698,13.27,72009010823,9.05
11212,Ｇ：批發及零售業,354935,15.31,75663228794,9.51
11212,Ｈ：運輸及倉儲業,159112,6.86,12243127223,1.54
11212,Ｉ：住宿及餐飲業,22739,0.98,2279147166,0.29
11212,Ｊ：出版影音及資通訊業,20768,0.90,3330784403,0.42
11212,Ｋ：金融及保險業,91390,3.94,303922571363,38.19
11212,Ｌ：不動產業,71208,3.07,25802977733,3.24
11212,Ｍ：專業、科學及技術服務業,155318,6.70,24579285062,3.09
11212,Ｎ：支援服務業,65260,2.82,9578328537,1.20
11212,Ｏ：公共行政及國防；強制性社會安全,106,0.00,5449572,0.00
11212,Ｐ：教育業,321,0.01,32995950,0.00
11212,Ｑ：醫療保健及社會工作服務業,43,0.00,2920409,0.00
11212,Ｒ：藝術、娛樂及休閒服務業,5750,0.25,532561679,0.07
11212,Ｓ：其他服務業,13739,0.59,1859060887,0.23
11212,Ｘ：不能歸類之行業,155335,6.72,74470855726,9.36
11301,Ａ：農、林、漁、牧業,54399,1.45,12795164862,1.30
11301,Ｂ：礦業及土石採取業,29805,0.80,8030786419,0.82
11301,Ｃ：製造業,1383006,36.98,210765568939,21.43
11301,Ｄ：電力及燃氣供應業,30159,0.81,18156861158,1.85
11301,Ｅ：用水供應及污染整治業,20964,0.56,8972238255,0.91
11301,Ｆ：營建工程業,528065,14.12,110479459599,11.23
11301,Ｇ：批發及零售業,613704,16.41,98274647296,9.99
11301,Ｈ：運輸及倉儲業,205780,5.50,15456581940,1.57
11301,Ｉ：住宿及餐飲業,38972,1.04,3444386887,0.35
11301,Ｊ：出版影音及資通訊業,33122,0.89,4788305196,0.49
11301,Ｋ：金融及保險業,102081,2.73,322704418961,32.81
11301,Ｌ：不動產業,95220,2.55,32242901793,3.28
11301,Ｍ：專業、科學及技術服務業,264367,7.07,38416644377,3.91
11301,Ｎ：支援服務業,99083,2.65,15385489147,1.56
11301,Ｏ：公共行政及國防；強制性社會安全,266,0.01,14521855,0.00
11301,Ｐ：教育業,517,0.01,61691643,0.01
11301,Ｑ：醫療保健及社會工作服務業,66,0.00,2967303,0.00
11301,Ｒ：藝術、娛樂及休閒服務業,7244,0.19,817873422,0.08
11301,Ｓ：其他服務業,24174,0.65,2602315142,0.26
11301,Ｘ：不能歸類之行業,209046,5.58,80227039912,8.15
11302,Ａ：農、林、漁、牧業,38293,1.45,8591396928,1.22
11302,Ｂ：礦業及土石採取業,21366,0.81,5954314268,0.84
11302,Ｃ：製造業,998845,37.78,149145124713,21.14
11302,Ｄ：電力及燃氣供應業,21055,0.80,14415091882,2.04
11302,Ｅ：用水供應及污染整治業,14565,0.55,1600402317,0.23
11302,Ｆ：營建工程業,369029,13.96,77764926799,11.02
11302,Ｇ：批發及零售業,432569,16.36,73278071341,10.39
11302,Ｈ：運輸及倉儲業,140452,5.31,11325622957,1.61
11302,Ｉ：住宿及餐飲業,26716,1.01,2611453900,0.37
11302,Ｊ：出版影音及資通訊業,23723,0.90,3580778205,0.51
11302,Ｋ：金融及保險業,67315,2.55,233367544263,33.08
11302,Ｌ：不動產業,70724,2.68,23649892867,3.35
11302,Ｍ：專業、科學及技術服務業,186589,7.06,26096687118,3.70
11302,Ｎ：支援服務業,66515,2.52,10771980729,1.53
11302,Ｏ：公共行政及國防；強制性社會安全,170,0.01,7487187,0.00
11302,Ｐ：教育業,339,0.01,42552006,0.01
11302,Ｑ：醫療保健及社會工作服務業,45,0.00,2165065,0.00
